month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,source_file,source_row_number,month_date,failure_reason,remaining_lease_years,remaining_lease_months,remaining_lease_recomputed,remaining_lease_as_of_date
2016-10,PASIR RIS,2 ROOM,142,PASIR RIS ST 11,01 TO 03,55.0,2-room,1994,76,240000.0,"Resale Flat Prices (Based on Registration Date), From Jan 2015 to Dec 2016.csv",33457,2016-10-01,INVALID_FLAT_MODEL,,,,
2012-01,ANG MO KIO,3 ROOM,256,ANG MO KIO AVE 4,10 TO 12,73.0,New Generation,1977,,340000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366496,2012-01-01,DUPLICATE_LOWER_PRICE,49,6,49 years 06 months,2026-07-18
2012-01,ANG MO KIO,3 ROOM,506,ANG MO KIO AVE 8,07 TO 09,68.0,New Generation,1980,,334000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366510,2012-01-01,DUPLICATE_LOWER_PRICE,52,6,52 years 06 months,2026-07-18
2012-01,ANG MO KIO,3 ROOM,558,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1980,,336000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366480,2012-01-01,DUPLICATE_LOWER_PRICE,52,6,52 years 06 months,2026-07-18
2012-01,ANG MO KIO,3 ROOM,633,ANG MO KIO AVE 6,10 TO 12,67.0,New Generation,1985,,350000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366508,2012-01-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-01,BEDOK,3 ROOM,138,BEDOK NTH ST 2,10 TO 12,67.0,New Generation,1978,,316000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366574,2012-01-01,DUPLICATE_LOWER_PRICE,50,6,50 years 06 months,2026-07-18
2012-01,BUKIT MERAH,3 ROOM,37,JLN RUMAH TINGGI,04 TO 06,53.0,Standard,1969,,303000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366750,2012-01-01,DUPLICATE_LOWER_PRICE,41,6,41 years 06 months,2026-07-18
2012-01,BUKIT MERAH,3 ROOM,37,JLN RUMAH TINGGI,04 TO 06,53.0,Standard,1969,,290000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366753,2012-01-01,DUPLICATE_LOWER_PRICE,41,6,41 years 06 months,2026-07-18
2012-01,CHOA CHU KANG,4 ROOM,485,CHOA CHU KANG AVE 5,07 TO 09,102.0,Model A,1999,,385000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366883,2012-01-01,DUPLICATE_LOWER_PRICE,71,6,71 years 06 months,2026-07-18
2012-01,GEYLANG,3 ROOM,23,BALAM RD,07 TO 09,60.3,Standard,1967,,298000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",366989,2012-01-01,DUPLICATE_LOWER_PRICE,39,6,39 years 06 months,2026-07-18
2012-01,HOUGANG,3 ROOM,682,HOUGANG AVE 4,04 TO 06,64.0,Simplified,1989,,319000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367038,2012-01-01,DUPLICATE_LOWER_PRICE,61,6,61 years 06 months,2026-07-18
2012-01,JURONG WEST,3 ROOM,209,BOON LAY PL,01 TO 03,74.0,Improved,1976,,300000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367152,2012-01-01,DUPLICATE_LOWER_PRICE,48,6,48 years 06 months,2026-07-18
2012-01,JURONG WEST,4 ROOM,483,JURONG WEST ST 41,01 TO 03,91.0,New Generation,1985,,365000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367211,2012-01-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-01,JURONG WEST,4 ROOM,836,JURONG WEST ST 81,04 TO 06,109.0,Model A,1993,,390000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367195,2012-01-01,DUPLICATE_LOWER_PRICE,65,6,65 years 06 months,2026-07-18
2012-01,PASIR RIS,4 ROOM,626,PASIR RIS DR 3,01 TO 03,104.0,Model A,1995,,413000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367329,2012-01-01,DUPLICATE_LOWER_PRICE,67,6,67 years 06 months,2026-07-18
2012-01,SENGKANG,EXECUTIVE,202B,SENGKANG EAST RD,13 TO 15,130.0,Apartment,2001,,630000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367585,2012-01-01,DUPLICATE_LOWER_PRICE,73,6,73 years 06 months,2026-07-18
2012-01,YISHUN,3 ROOM,108,YISHUN RING RD,04 TO 06,60.0,Improved,1985,,296000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",367928,2012-01-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-02,BEDOK,3 ROOM,44,CHAI CHEE ST,01 TO 03,68.0,New Generation,1980,,316000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",368134,2012-02-01,DUPLICATE_LOWER_PRICE,52,6,52 years 06 months,2026-07-18
2012-02,BEDOK,3 ROOM,520,BEDOK NTH AVE 1,01 TO 03,67.0,New Generation,1979,,327000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",368107,2012-02-01,DUPLICATE_LOWER_PRICE,51,6,51 years 06 months,2026-07-18
2012-02,BEDOK,4 ROOM,166,BEDOK STH AVE 3,10 TO 12,104.0,Model A,1985,,430000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",368143,2012-02-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-02,BUKIT BATOK,3 ROOM,146,BT BATOK WEST AVE 6,07 TO 09,68.0,New Generation,1984,,321800.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",368241,2012-02-01,DUPLICATE_LOWER_PRICE,56,6,56 years 06 months,2026-07-18
2012-02,BUKIT BATOK,EXECUTIVE,218,BT BATOK ST 21,01 TO 03,156.0,Maisonette,1985,,618000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",368287,2012-02-01,DUPLICATE_LOWER_PRICE,57,6,57 years 06 months,2026-07-18
2012-02,CLEMENTI,3 ROOM,513,WEST COAST RD,01 TO 03,68.0,New Generation,1980,,307000.0,"Resale Flat Prices (Based on Approval Date), 2000 - Feb 2012.csv",368503,2012-02-01,DUPLICATE_LOWER_PRICE,52,6,52 years 06 months,2026-07-18
